Test,Original Size,Compressed Size,Compression coefficient,Compression Time,Decompression Time,Total Time
HA,1243136,946693,1.313,1544,1913,3458
RLE,1243136,1142031,1.089,1734,1920,3654
BWT+RLE,1243136,983307,1.264,17112,2280,19393
BWT+MTF+HA,1243136,568535,2.187,18749,5145,23895
BWT+MTF+RLE+HA,1243136,586600,2.119,19842,6539,26381
LZSS,1243136,1152090,1.079,6855,3881,10737
LZSS+HA,1243136,770546,1.613,8005,5636,13642
LZW,1243136,1306268,0.952,2231,4473,6704
LZW+HA,1243136,859313,1.447,3497,5590,9087
